source,target
translate ASL to English: BED I HAVE,I have to go to bed.
translate ASL to English: ME YOU LIKE,Would you like to dance with me?
translate ASL to English: WHAT IT INVOLVE,What does it involve?
translate ASL to English: PARIS I LIKE,I'd like to study in Paris.
translate ASL to English: SCHOOL I WANT,I don't want to go to school.
translate ASL to English: TIME IT HAPPEN,"Yes, it happens from time to time."
translate ASL to English: CANDY I WANT,I want a piece of candy.
translate ASL to English: HAT SHE WEAR,She was wearing a black hat.
translate ASL to English: YOU DO,Do as you want.
translate ASL to English: SATURDAY I HAVE,I have to give back the book before Saturday.
translate ASL to English: ME WHAT TELL,Tell me what happened.
translate ASL to English: TIME YOU MAKE,You made the same mistake as last time.
translate ASL to English: FUTURE YOU WANT,What do you want to do in the future?
translate ASL to English: YOU HAVE,You have to go.
translate ASL to English: NEED YOU HAVE,You have no need to hurry.
translate ASL to English: YOU LIKE,Would you like to go abroad?
translate ASL to English: WHAT YOU WANT,What do you want to be?
translate ASL to English: WHAT YOU WANT,What do you want now?
translate ASL to English: YOU NEED,You need to study harder.
translate ASL to English: BED YOU GO,You must go to bed now.
translate ASL to English: BED YOU GO,You had better go to bed now.
translate ASL to English: IT YOU GIVE,Who did you give it to?
translate ASL to English: BOOK YOU BUY,You need not have bought the book.
translate ASL to English: BED YOU GO,What time do you usually go to bed?
translate ASL to English: WORK THINK,I think your work is all right.
translate ASL to English: YOU DO,Do as you like.
translate ASL to English: YOU WANT,I want you to go.
translate ASL to English: WORK ALL DO,All of you did good work.
translate ASL to English: YOU DO,Do what you think is right.
translate ASL to English: TIME YOU LEAVE,What time will you leave?
translate ASL to English: ACCIDENT I FIND,I found the book by accident.
translate ASL to English: FAMILY I HAVE,I have to go to the airport to meet my family.
translate ASL to English: AIRPORT I GO,What time should I go to the airport?
translate ASL to English: KYOTO YOU LIKE,How do you like Kyoto?
translate ASL to English: MARKET IT GO,How is it going in the fish market?
translate ASL to English: FISH SWIM,A fish can swim.
translate ASL to English: FISH BURN,The fish is burnt black.
translate ASL to English: FISH I LIKE,I'd like some fish.
translate ASL to English: MISCARRIAGE I HAVE,I had a miscarriage last year.
translate ASL to English: STROKE I HAVE,I had a stroke last year.
translate ASL to English: CROPS FAIL,The crops failed last year.
translate ASL to English: COMPANY HE BEGIN,He began to work for that company last year.
translate ASL to English: HELP I NEED,I need medical help.
translate ASL to English: SCHOOL YOU GO,You'll go to school tomorrow.
translate ASL to English: THEM SHE TELL,How did she tell them?
translate ASL to English: CHANGE 'S LET,Let's take a walk for a change.
translate ASL to English: CHANGE MOTHER ADVISE,Mother advised me to take a walk for a change.
translate ASL to English: CHANGE 'S LET,Let's eat out for a change.
translate ASL to English: I FEEL,I'm feeling fine now.
translate ASL to English: MANY YOU GIVE,I'll give you as many as you like.
translate ASL to English: IT NURSE TELL,The nurse will tell you how to do it.
translate ASL to English: PLAY STUDENTS PARTAKE,All the students will partake in the play.
translate ASL to English: SCHOOL YOU GO,You shouldn't go to school.
translate ASL to English: TIME SCHOOL BEGIN,What time does school begin?
translate ASL to English: I WANT,I want to go abroad.
translate ASL to English: TIME PLAY BEGIN,What time does the play begin?
translate ASL to English: PARTY YOU ENJOY,How did you enjoy the party?
translate ASL to English: WRONG WE NEED,We need to distinguish right from wrong.
translate ASL to English: WE EAT,We eat fish raw.
translate ASL to English: TIME WE SHOUT,We were all shouting at the same time.
translate ASL to English: POVERTY PEOPLE LIVE,How many people are now living in poverty?
translate ASL to English: TIME IT CLOSE,What time does it close?
translate ASL to English: TIME IT OPEN,What time does it open?
translate ASL to English: TIME YOU COME,What time can you come?
translate ASL to English: TIME BOARDING BEGIN,What time does boarding begin?
translate ASL to English: BED YOU GO,What time do you go to bed?
translate ASL to English: TIME YOU EAT,What time did you eat?
translate ASL to English: TIME IT START,What time does it start?
translate ASL to English: TIME YOU LEAVE,What time are you leaving?
translate ASL to English: TIME GAME START,What time will the game start?
translate ASL to English: TIME IT OPEN,What time does it open and close?
translate ASL to English: TIME YOU HAVE,What time do you have?
translate ASL to English: AMERICA LANGUAGE SPEAK,What language is spoken in America?
translate ASL to English: WHAT STEAL,What was stolen?
translate ASL to English: WHAT NOBODY DECIDE,Nobody could decide as to what to do.
translate ASL to English: WHAT YOU WANT,What do you want to do?
translate ASL to English: WHAT YOU LIKE,What would you like to drink?
translate ASL to English: NEED YOU HAVE,You have no need to be ashamed.
translate ASL to English: ANYTHING YOU HELP,Help yourself to anything you'd like to eat.
translate ASL to English: WHATEVER YOU EAT,Eat whatever you like.
translate ASL to English: WHAT YOU TELL,Tell me what you want.
translate ASL to English: SOMETHING GO,Something might go wrong.
translate ASL to English: SOMETHING I WANT,I want something hot to drink.
translate ASL to English: SOMETHING I WANT,I want something to eat.
translate ASL to English: SOMETHING I LIKE,I'd like something to eat.
translate ASL to English: WHAT HAPPEN,What would happen?
translate ASL to English: I GO,I'll go no matter what.
translate ASL to English: SOMETHING I WANT,I want something to drink.
translate ASL to English: SOMETHING I LIKE,I'd like something to drink.
translate ASL to English: ANYTHING YOU LIKE,Would you like to drink anything?
translate ASL to English: WHAT MISS,What is missing?
translate ASL to English: WHAT HAPPEN,What is happening?
translate ASL to English: CLIMATE OKINAWA HAVE,Okinawa has a fine climate all year round.
translate ASL to English: I WANT,I want to go and cheer.
translate ASL to English: MOVIE YOU LIKE,Would you like to go to a movie?
translate ASL to English: MOVIES I LIKE,I'd like to go to the movies.
translate ASL to English: MOVIE YOU ENJOY,How did you enjoy the movie?
translate ASL to English: TIME IT RAIN,It is raining all the time.
translate ASL to English: RAIN I LIKE,I like to walk in the rain.
translate ASL to English: DRINK I FEEL,I feel like a drink.
translate ASL to English: WHO SUCCEED,Those who work hard will succeed.
translate ASL to English: ONE MANY HELP,"One can't help many, but many can help one."
translate ASL to English: YOU I LIKE,I would like to go with you.
translate ASL to English: DOCTOR SEND,The doctor was sent for.
translate ASL to English: MEDICINE DOCTOR GIVE,The doctor gave him the medicine.
translate ASL to English: AIR DOCTOR ADVISE,The doctor advised a change of air.
translate ASL to English: BED ME HAVE,The doctor had me lying in bed.
translate ASL to English: PATIENT DOCTOR ADMINISTER,The doctor administered medicine to the patient.
translate ASL to English: DOCTOR I LIKE,I'd like to see a doctor.
translate ASL to English: DOCTOR YOU NEED,You need to see a doctor.
translate ASL to English: YOU I WANT,I want to go with you.
translate ASL to English: SCHOOL I WALK,I always walk to school.
translate ASL to English: RADIO WORK,The radio will not work.
translate ASL to English: IT I DO,"All right, I will do it again."
translate ASL to English: JACK MAKE,All work and no play makes Jack a dull boy.
translate ASL to English: COLOR I LIKE,I'd like it in a brighter color.
translate ASL to English: BED YOU GO,"If you are tired, go to bed."
translate ASL to English: YOU GO,You can go if you want to.
translate ASL to English: TIME WE HAVE,We have no time.
translate ASL to English: I GET,I have got to go now.
translate ASL to English: YOU GO,You can go home now.
translate ASL to English: BED I GO,I'd better go to bed now.
translate ASL to English: SCHOOL MARY HAVE,Mary had to go to school.
translate ASL to English: WASTE WANT,"Waste not, want not."
translate ASL to English: CYCLING WE LIKE,We all like cycling.
translate ASL to English: BASKETBALL MIKE LIKE,Mike likes to play basketball.
translate ASL to English: WHAT I TELL,I'll tell you what.
translate ASL to English: BOOK WHITE PUBLISH,Professor White published his first book last year.
translate ASL to English: HOUSE WHO DESIGN,Who designed the White House?
translate ASL to English: BOB COOK,Bob can cook.
translate ASL to English: WORK MAN DO,No other man could do my work.
translate ASL to English: IT WE PAINT,We'll paint it.
translate ASL to English: WRONG BETTY TELL,Betty can't tell right from wrong.
translate ASL to English: BED DO,Anywhere with a bed will do.
translate ASL to English: BRAKES WORK,The brakes did not work.
translate ASL to English: FRANCE I LIKE,I would like to go to France.
translate ASL to English: FRANCE YOU COOK,How do you cook this fish in France?
translate ASL to English: BROWN YOU LIKE,I'd like you to meet Mr Brown.
translate ASL to English: SCHOOL BILL LOOK,It looks like Bill will go to medical school after all.
translate ASL to English: SCHOOL I LIKE,I would like to go to a business school.
translate ASL to English: HAWAII I LIKE,I'd like to go to Hawaii.
translate ASL to English: TIME BUS LEAVE,What time does the bus leave?
translate ASL to English: ADVANTAGE PLAYERS HAVE,"In basketball, tall players have an advantage."
translate ASL to English: IT HURT,"Yes, it hurts."
translate ASL to English: PARTY YOU LIKE,How did you like the party?
translate ASL to English: TABLE MOUSE GO,A mouse went for a walk on the table.
translate ASL to English: IT BLOW,How it blows!
translate ASL to English: WORK I MANAGE,I managed to finish the work.
translate ASL to English: WORK I FINISH,I will finish this work somehow.
translate ASL to English: ALL YOU WORK,"Above all, you must work now."
translate ASL to English: LANGUAGE MAN SPEAK,Because no man can speak my language.
translate ASL to English: DISEASE MEDICINE CURE,No medicine can cure this disease.
translate ASL to English: BOOK DO,Any book will do.
translate ASL to English: PAPER DO,Any paper will do.
translate ASL to English: TIME IT TAKE,"Whatever language you study, it takes time."
translate ASL to English: WORK I FINISH,"No matter how long it takes, I will finish the work."
translate ASL to English: SCHOOL I GO,I go to a driving school.
translate ASL to English: WISH TOM HAVE,Tom has no wish to study.
translate ASL to English: SCHOOL TOM GO,Tom need not go to school today.
translate ASL to English: FRIENDS TOM HAVE,Tom has no friends to play with.
translate ASL to English: APPLES CHILDREN LIKE,All children do not like apples.
translate ASL to English: EASE WORK DO,No work can be done with ease.
translate ASL to English: THEM YOU WANT,How do you want them?
translate ASL to English: WHAT YOU LIKE,What would you like to be called?
translate ASL to English: WHO YOU WORK,Who do you work for?
translate ASL to English: TIME YOU GO,"By the way, what time will you go there?"
translate ASL to English: SCHOOL YOU GO,What school do you go to?
translate ASL to English: DRINK YOU LIKE,Would you like to go have a drink?
translate ASL to English: DRINK YOU LIKE,Would you like to go out to have a drink somewhere?
translate ASL to English: IT GO,How is it going?
translate ASL to English: WHAT YOU THINK,"Now, what do you think?"
translate ASL to English: SCHOOL YOU GO,How do you go to school?
translate ASL to English: QUOTA I MEET,How can I meet this quota?
translate ASL to English: COMPUTER SOMETHING SEEM,It seems that something is wrong with the computer.
translate ASL to English: BEING TIME DO,This will do for the time being.
translate ASL to English: BOOK I MANAGE,I managed to finish the book.
translate ASL to English: WORK HE FINISH,At last he could finish the work.
translate ASL to English: DAYS I FORGET,How can I forget those days?
translate ASL to English: ITALY I WANT,I do want to go to Italy.
translate ASL to English: ACCIDENT COME,How did the accident come about?
translate ASL to English: WHAT I HAVE,I had no idea what to do.
translate ASL to English: MAN DOOR OPEN,The door was opened by a tall man.
translate ASL to English: TENNIS I LIKE,I like to play tennis.
translate ASL to English: TENNIS I LIKE,I'd like to play tennis.
translate ASL to English: DESSERT YOU LIKE,What would you like for dessert?
translate ASL to English: I LIKE,I would like to go home now.
translate ASL to English: YOU I GIVE,I will give you what help I can.
translate ASL to English: WHAT I WANT,Not quite what I want.
translate ASL to English: IT GET,It was getting dark.
translate ASL to English: CLUB YOU LIKE,How would you like to join the dance club?
translate ASL to English: TIME FLOOR CROWD,What time does the dance floor get crowded?
translate ASL to English: DANCE YOU LIKE,How would you like to go to a dance?
translate ASL to English: DANCE WE HAVE,We had a lovely time at the dance.
translate ASL to English: ME ONE HELP,No one can help me.
translate ASL to English: IT MAN BELIEVE,No man alive would believe it.
translate ASL to English: ACCIDENT UNDERSTAND,No one can understand how the accident happened.
translate ASL to English: IT MAN DO,No one man could do it.
translate ASL to English: WHO CARE,Who cares?
translate ASL to English: WHO CARE,Who cared?
translate ASL to English: THAT GUESS,I guess that would be all right.
translate ASL to English: BLACK I LIKE,I'd like to see that in black and white.
translate ASL to English: ANYONE YOU GIVE,Give it to anyone you like.
translate ASL to English: IT 'S LET,Let's finish it right away.
translate ASL to English: IT I LIKE,I don't like it at all.
translate ASL to English: SENSE THAT MAKE,That makes no sense at all.
translate ASL to English: ACCIDENT IT HAPPEN,It happened by accident.
translate ASL to English: IT YOU LIKE,How did you like it?
translate ASL to English: IT COME,How did it all come about?
translate ASL to English: APPLE IT LOOK,It looks like an apple.
translate ASL to English: THAT WORK,That won't work.
translate ASL to English: PARALLEL IT HAVE,It has no parallel.
translate ASL to English: ACCIDENT THAT ACCOUNT,That accounts for the accident.
translate ASL to English: HE PUNISH,He was punished all the same.
translate ASL to English: SCHOOL 'S LET,Now let's hurry to school.
translate ASL to English: IT I WANT,I do want it.
translate ASL to English: ME WHAT HAVE,What has that to do with me?
translate ASL to English: WHAT IT HAVE,I have no idea of what it is like.
translate ASL to English: WHAT IT MEAN,What does it mean?
translate ASL to English: VIRUS THAT LOOK,That looks like the work of a virus.
translate ASL to English: STORY MAN BELIEVE,Many a man believes the story.
translate ASL to English: WOOD WHAT HAPPEN,What happens to all the wood?
translate ASL to English: BOOK I READ,I have read the book before.
translate ASL to English: SON MOTHER KNOW,The mother didn't know what to do with her son.
translate ASL to English: FEATHERS BIRD COVER,The bird was covered with white feathers.
translate ASL to English: MAN BLUSH,The man blushed.
translate ASL to English: DRINK MAN WANT,The man wanted to have a drink.
translate ASL to English: BOY MAN BLUSH,The man blushed like a boy.
translate ASL to English: MAN GO,The man went off at last.
translate ASL to English: HOPE MAN LOSE,The man lost all hope.
translate ASL to English: PAPER MAN LOSE,The man lost no time in reading his paper.
translate ASL to English: ACCIDENT MAN DIE,The man died in a car accident.
translate ASL to English: HOUSE MAN HAVE,The man has no house to live in.
translate ASL to English: TIME SYSTEM GO,The system will go into operation in a short time.
translate ASL to English: STARS SHINE,The stars shone all the time.
translate ASL to English: MAN DIE,The man was dying.
translate ASL to English: WHAT GENTLEMAN TELL,Tell me what the gentleman is like.
translate ASL to English: MOTHER GIRL HAVE,The girl has no mother.
translate ASL to English: MAN WOMEN FINE,The women will fine the man.
translate ASL to English: PAPER ACCIDENT REPORT,The accident is reported in today's paper.
translate ASL to English: DEATHS ACCIDENT CAUSE,The accident has caused many deaths.
translate ASL to English: ACCIDENT LIVES LOSE,Many lives were lost in the accident.
translate ASL to English: ACCIDENT PEOPLE KILL,Many people were killed in the accident.
translate ASL to English: ACCIDENT PASSENGERS KILL,No passengers were killed in the accident.
translate ASL to English: TIME GAME START,What time does the game start?
translate ASL to English: PAPER FEEL,How does the paper feel?
translate ASL to English: STREETS CITY HAVE,The city has many broad streets.
translate ASL to English: TIME HE GROW,He grew a lot in no time at all.
translate ASL to English: WORK IT TAKE,It took her all afternoon to finish the work.
translate ASL to English: WORK 'S LET,Let's do the work.
translate ASL to English: WORK 'S LET,Let's not do the work.
translate ASL to English: WORK DO,The work is done.
translate ASL to English: YEAR WORK APPEAR,It appeared as if the work would not be finished in a year.
translate ASL to English: WORK WHO BE,There is no one here who can help you with the work.
translate ASL to English: TIME I DISLIKE,"Not that I dislike the work, but that I have no time."
translate ASL to English: NOVEL WORK GIVE,The work will give birth to a new school of novel.
translate ASL to English: MEAT DOG EAT,The dog didn't eat the meat.
translate ASL to English: DOG DIE,The dog is dying.
translate ASL to English: DOG DIE,The dog was dying.
translate ASL to English: STRANGERS DOG BARK,The dog barks at all strangers.
translate ASL to English: DOG WANT,The dog wants to go outside.
translate ASL to English: FAMILY DOG LOVE,That dog is loved by the whole family.
translate ASL to English: FAMILY DOG CALL,The dog is called Spot by the family.
translate ASL to English: DOG I LIKE,I like the dog.
translate ASL to English: PLAN WORK,How will the plan work out?
translate ASL to English: CLOTHES MONEY SPEND,All the money was spent on clothes.
translate ASL to English: SALMON FISH TASTE,The fish tasted like salmon.
translate ASL to English: ENGLISH STUDENTS STUDY,All the students study English.
translate ASL to English: PRISON SCHOOL LOOK,The school looks like a prison.
translate ASL to English: MEDICINE DOCTOR THINK,The doctor thinks carefully before deciding what medicine to give.
translate ASL to English: THIS DOCTOR KNOW,The doctor knew how to cope with an emergency like this.
translate ASL to English: APPLE BRUISE,That apple is bruised.
translate ASL to English: PARTY WHO BE,There was no one who did not enjoy the party.
translate ASL to English: HER WOMAN HAVE,The old woman has no one to help her.
translate ASL to English: ENGINE PULL,The engine will not pull.
translate ASL to English: TIME YOU LEARN,You will learn how to do it in time.
translate ASL to English: WHO YOU MEET,Who did you meet there?
translate ASL to English: MAN WHO HAPPEN,"Now that you mention it, what happened to that man who used to work here?"
translate ASL to English: THING ALL COME,All comes to the same thing.
translate ASL to English: TIME I HAVE,I had a fine old time.
translate ASL to English: YOU GO,You should go back right now.
translate ASL to English: IT WE CHECK,We'll check on it right now.
translate ASL to English: YOU NEED,You don't need to leave right now.
translate ASL to English: DOCTOR CALL,A doctor was called in right away.
translate ASL to English: SKIING I LIKE,I'd like to go skiing.
translate ASL to English: TIME SWITCH WORK,The switch didn't work on time.
translate ASL to English: ME MAN HELP,But no man could help me.
translate ASL to English: SEATTLE I WANT,I want to go to Seattle.
translate ASL to English: WORK 'S LET,Let's go at our work.
translate ASL to English: 'S LET,"Now, let's turn to work."
translate ASL to English: 'S LET,"Now folks, let's go on."
translate ASL to English: TIME WORK WAIT,"Now, go and have a good time. The work can wait."
translate ASL to English: CONCERT YOU ENJOY,How did you enjoy the concert?
translate ASL to English: THIS COME,How did all this come about?
translate ASL to English: CHAIR THIS DO,This will do for a chair.
translate ASL to English: THAT YOU LIKE,How do you like that?
translate ASL to English: THIS ALL COMPLETE,All is completed with this.
translate ASL to English: GOLF I LIKE,I like to play golf.
translate ASL to English: PEOPLE MEDICINE SAY,What effect did the doctor say this medicine has on people?
translate ASL to English: EFFECTS MEDICINE HAVE,This medicine has no side effects.
translate ASL to English: HOTCAKES BOOK SELL,This book is selling like hotcakes.
translate ASL to English: BOOK I GIVE,I will give you this book.
translate ASL to English: IT WHOEVER GIVE,Give this book to whoever wants it.
translate ASL to English: BOOK PRINT,This book will be printed next year.
translate ASL to English: PICTURES BOOK HAVE,This book has many beautiful pictures.
translate ASL to English: PICTURES BOOK CONTAIN,This book contains many pictures.
translate ASL to English: BOOK DO,This book will do.
translate ASL to English: BOOK I STUDY,"If it were not for this book, I couldn't study."
translate ASL to English: BOOK I LIKE,I would like this book.
translate ASL to English: ME THIS TELL,Tell me whose hat this is.
translate ASL to English: DRESS HAT MATCH,This hat does match the brown dress.
translate ASL to English: TOWN YOU LIKE,How do you like this town?
translate ASL to English: IS THIS BOTHER,What is all this bother about?
translate ASL to English: CLASS YOU GO,Did you go to the last class?
